country,decade,player1,player2,player3,player4,player5,player6,player7,
romania,2000,アドリアン・ムトゥ,コスミン・コントラ,クリスティアン・キヴ,ミレル・ラドイ,ラズヴァン・ラツ,,,
romania,2010,チプリアン・タタルシャヌ,ヴラド・キリケシュ,,,,,,
romania,2020,ニコラエ・スタンチュ,デニス・マン,ラドゥ・ドラグシン,,,,,
bulgaria,1990,フリスト・ストイチコフ,クラシミール・バラコフ,エミル・コスタディノフ,ヨルダン・レチコフ,トリフォン・イヴァノフ,ボリスラフ・ミハイロフ,リュボスラフ・ペネフ,
bulgaria,2000,ディミタール・ベルバトフ,スティリアン・ペトロフ,マルティン・ペトロフ,ヴァレリ・ボジノフ,,,,
greece,1990,ヴァシリス・ツァルタス,ニコス・マフラス,,,,,,
greece,2000,テオドロス・ザゴラキス,アントニス・ニコポリディス,トライアノス・デラス,ゲオルギオス・セイタリディス,ゲオルギオス・カラグニス,コスタス・カツラニス,アンゲロス・ハリステアス,
greece,2010,ゲオルギオス・サマラス,ヴァシリス・トロシディス,ソクラティス・パパスタソプーロス,コスタス・マノラス,,,,
greece,2020,コスタス・ツィミカス,ヴァンゲリス・パヴリディス,,,,,,
poland,2000,イェジー・ドゥデク,エマニュエル・オリサデベ,ヤツェク・クジノヴェク,マチェイ・ジュラフスキ,ミハウ・ジェヴワコフ,エウゼビウシュ・スモラレク,アルトゥール・ボルツ,
poland,2010,ロベルト・レヴァンドフスキ,ヤクブ・ブワシュチコフスキ,ウカシュ・ピシュチェク,グジェゴシュ・クリホビアク,カミル・グリク,ヴォイチェフ・シュチェスニー,アルカディウシュ・ミリク,
poland,2020,ピオトル・ジエリンスキ,マティ・キャッシュ,ヤクブ・キヴィオル,ニコラ・ザレフスキ,,,,
ukraine,1990,セルヒー・レブロフ,オレフ・ルジニー,,,,,,
ukraine,2000,アンドリー・シェフチェンコ,オレクサンドル・ショフコフスキー,アナトリー・ティモシュチュク,アンドリー・ヴォロニン,,,,
ukraine,2010,アンドリー・ヤルモレンコ,イェウヘン・コノプリャンカ,,,,,,
ukraine,2020,オレクサンドル・ジンチェンコ,アンドリー・ルニン,イリヤ・ザバルニー,ミハイロ・ムドリク,アルテム・ドフビク,ゲオルギー・スダコフ,,
scotland,1990,アリー・マッコイスト,ゲイリー・マカリスター,コリン・ヘンドリー,ジョン・コリンズ,ポール・ランバート,,,
scotland,2000,バリー・ファーガソン,ダレン・フレッチャー,ジェームズ・マクファデン,クレイグ・ゴードン,,,,
scotland,2010,スコット・ブラウン,,,,,,,
scotland,2020,アンディ・ロバートソン,キーラン・ティアニー,ジョン・マッギン,スコット・マクトミネイ,,,,
ireland,1990,パット・ボナー,ポール・マグラー,レイ・ホートン,ジョン・オルドリッジ,デニス・アーウィン,スティーヴ・ストーントン,ロイ・キーン,
ireland,2000,シェイ・ギヴン,スティーヴ・フィナン,リチャード・ダン,ジョン・オシェイ,ダミアン・ダフ,ロビー・キーン,,
ireland,2010,シェイマス・コールマン,エイダン・マクギーディ,ジェームズ・マクリーン,シェーン・ロング,,,,
ireland,2020,クィービーン・ケレハー,エヴァン・ファーガソン,,,,,,
slovakia,2010,マレク・ハムシク,マルティン・シュクルテル,ロベルト・ヴィッテク,ユライ・クツカ,,,,
slovakia,2020,スタニスラフ・ロボツカ,ミラン・シュクリニアル,ダヴィド・ハンツコ,,,,,
wales,1990,ライアン・ギグス,ネヴィル・サウスオール,ディーン・ソーンダース,,,,,
wales,2000,クレイグ・ベラミー,ジョン・ハートソン,,,,,,
wales,2010,ガレス・ベイル,アーロン・ラムジー,アシュリー・ウィリアムズ,ジョー・アレン,ハル・ロブソン＝カヌ,,,
wales,2020,ベン・デイヴィス,ハリー・ウィルソン,ブレナン・ジョンソン,,ブレナン・ジョンソン,,,
russia,1990,アレクサンドル・モストヴォイ,ヴァレリー・カルピン,ヴィクトル・オノプコ,,,,,
russia,2000,アンドレイ・アルシャヴィン,イゴール・アキンフェエフ,ユーリ・ジルコフ,ロマン・パヴリュチェンコ,,,,
russia,2010,アラン・ジャゴエフ,アレクサンドル・ゴロヴィン,デニス・チェリシェフ,,,,,
russia,2020,アルセン・ザハリャン,マトヴェイ・サフォノフ,,,,,,
bosnia-and-herzegovina,2000,セルゲイ・バルバレス,ハサン・サリハミジッチ,,,,,,
bosnia-and-herzegovina,2010,エディン・ジェコ,ミラレム・ピャニッチ,ズヴェズダン・ミシモヴィッチ,ヴェダド・イビシェヴィッチ,,,,
slovenia,1990,ズラトコ・ザホヴィッチ,,,,,,,
slovenia,2010,サミール・ハンダノヴィッチ,ヨシップ・イリチッチ,,,,,,
slovenia,2020,ヤン・オブラク,ベンヤミン・シェシュコ,,,,,,
georgia,1990,カハ・カラーゼ,ショタ・アルベラーゼ,,,,,,
