competition,edition,match_id,event_id,event_type,team,player,assist,minute,period,round,vs,note
WC,2022,WC-2022-MD058,3,GOAL,オランダ,Wout Weghorst,,83,2H,QF,アルゼンチン,
WC,2022,WC-2022-MD058,4,GOAL,オランダ,Wout Weghorst,,90+11,2H,QF,アルゼンチン,
WC,2022,WC-2022-MD059,1,GOAL,モロッコ,Youssef En-Nesyri,,42,1H,QF,ポルトガル,
WC,2022,WC-2022-MD060,1,GOAL,フランス,Aurélien Tchouaméni,,17,1H,QF,イングランド,
WC,2022,WC-2022-MD060,2,GOAL,イングランド,Harry Kane,,54,2H,QF,フランス,PK
WC,2022,WC-2022-MD060,3,GOAL,フランス,Olivier Giroud,,78,2H,QF,イングランド,
WC,2022,WC-2022-MD061,1,GOAL,アルゼンチン,Lionel Messi,,34,1H,SF,クロアチア,PK
WC,2022,WC-2022-MD061,2,GOAL,アルゼンチン,Julián Álvarez,,39,1H,SF,クロアチア,
WC,2022,WC-2022-MD061,3,GOAL,アルゼンチン,Julián Álvarez,,69,2H,SF,クロアチア,
WC,2022,WC-2022-MD062,1,GOAL,フランス,Théo Hernandez,,5,1H,SF,モロッコ,
WC,2022,WC-2022-MD062,2,GOAL,フランス,Randal Kolo Muani,,79,2H,SF,モロッコ,
WC,2022,WC-2022-MD063,1,GOAL,クロアチア,Joško Gvardiol,,7,1H,3P,モロッコ,
WC,2022,WC-2022-MD063,2,GOAL,モロッコ,Achraf Dari,,9,1H,3P,クロアチア,
WC,2022,WC-2022-MD063,3,GOAL,クロアチア,Mislav Oršić,,42,1H,3P,モロッコ,
WC,2022,WC-2022-MD064,1,GOAL,アルゼンチン,Lionel Messi,,23,1H,Final,フランス,PK
WC,2022,WC-2022-MD064,2,GOAL,アルゼンチン,Ángel Di María,,36,1H,Final,フランス,
WC,2022,WC-2022-MD064,3,GOAL,フランス,Kylian Mbappé,,80,2H,Final,アルゼンチン,PK
WC,2022,WC-2022-MD064,4,GOAL,フランス,Kylian Mbappé,,81,2H,Final,アルゼンチン,
WC,2022,WC-2022-MD064,5,GOAL,アルゼンチン,Lionel Messi,,108,ET2,Final,フランス,
WC,2022,WC-2022-MD064,6,GOAL,フランス,Kylian Mbappé,,118,ET2,Final,アルゼンチン,PK
WC,2018,WC-2018-MD001,1,GOAL,ロシア,Yury Gazinsky,,12,1H,GL1,サウジアラビア,
WC,2018,WC-2018-MD001,2,GOAL,ロシア,Denis Cheryshev,,43,1H,GL1,サウジアラビア,
WC,2018,WC-2018-MD001,3,GOAL,ロシア,Artem Dzyuba,,71,2H,GL1,サウジアラビア,
WC,2018,WC-2018-MD001,4,GOAL,ロシア,Denis Cheryshev,,90+1,2H,GL1,サウジアラビア,
