club_key,decade,player1,player2,player3,player4,player5,
ajax,2010,ヤン・フェルトンゲン,クリスティアン・エリクセン,マタイス・デ・リフト,フレンキー・デ・ヨング,ドゥシャン・タディッチ,
ajax,2020,ダヴィ・クラーセン,アントニー,,,,
psv,1990,ロマーリオ,ロナウド,リュク・ニリス,フィリップ・コクー,ヤープ・スタム,
psv,2000,マルク・ファン・ボメル,ルート・ファン・ニステルローイ,朴智星,アレックス,エウレリョ・ゴメス,
psv,2010,ルーク・デ・ヨング,メンフィス・デパイ,アンドレス・グアルダード,イェルーン・ズート,,
psv,2020,コーディ・ガクポ,ジョーイ・フェールマン,,,,
feyenoord,1990,エト・デ・フーイ,ヘンク・フレイザー,ヨン・デ・ヴォルフ,ジョヴァンニ・ファン・ブロンクホルスト,,
feyenoord,2000,ピエール・ファン・ホーイドンク,小野伸二,トマシュ・ルジェサ,,,
feyenoord,2010,ヨルディ・クラーシ,グラツィアーノ・ペッレ,ディルク・カイト,ニコライ・ヨルゲンセン,,
feyenoord,2020,オルクン・コクチュ,ルチャレル・ヘールトライダ,ダヴィド・ハンコ,サンティアゴ・ヒメネス,上田綺世,
lazio,1990,ジュゼッペ・シニョーリ,アレッサンドロ・ネスタ,パベル・ネドヴェド,シニシャ・ミハイロヴィッチ,フアン・セバスティアン・ベロン,
lazio,2000,デヤン・スタンコヴィッチ,ステファノ・フィオーレ,アンジェロ・ペルッツィ,トンマーゾ・ロッキ,,
lazio,2010,ステファノ・ラドゥ,セナド・ルリッチ,ルーカス・ビリア,チーロ・インモービレ,セルゲイ・ミリンコヴィッチ＝サヴィッチ,
lazio,2020,ルイス・アルベルト,マッティア・ザッカーニ,イヴァン・プロヴェデル,,,
fiorentina,1990,ガブリエル・バティストゥータ,ルイ・コスタ,フランチェスコ・トルド,ステファン・シュヴァルツ,,
fiorentina,2000,ルカ・トーニ,アドリアン・ムトゥ,セバスティアン・フレイ,リッカルド・モントリーヴォ,,
fiorentina,2010,ボルハ・バレロ,ゴンサロ・ロドリゲス,フェデリコ・キエーザ,,,
