match-id,slug,competition,edition,md,stage,group,sec,datetime-local,home,home_key,away,away_key,stadium,home_score,away_score,home_score_pk,away_score_pk,mom,mom_team,note,updated_at
WC-2026-MD078,france-vs-sweden,WC,2026,MD078,Round32,,,7/1(水)06:00,フランス,,スウェーデン,,ニューヨーク/ニュージャージースタジアム,3,0,,,キリアン・エムバペ,フランス,I1 | フランス vs CD/F3/GH | スウェーデン,2026/7/1
WC-2026-MD079,mexico-vs-ecuador,WC,2026,MD079,Round32,,,7/1(水)10:00,メキシコ,,エクアドル,,エスタディオ・アステカ・メキシコシティー,2,0,,,フリアン・キニョネス,メキシコ,A1 | メキシコ vs C/E3/FHI | エクアドル,2026/7/1
WC-2026-MD080,england-vs-dr-congo,WC,2026,MD080,Round32,,,7/2(木)01:00,イングランド,,コンゴ民主共和国,,アトランタスタジアム,2,1,,,ハリー・ケイン,イングランド,L1 | イングランド vs EHIJ/K3 | コンゴ民主共和国,2026/7/2
WC-2026-MD081,belgium-vs-senegal,WC,2026,MD081,Round32,,,7/2(木)05:00,ベルギー,,セネガル,,シアトルスタジアム,3,2,,,ユーリ・ティーレマンス,ベルギー,G1 | ベルギー vs AEH/I3/J | セネガル,2026/7/2
WC-2026-MD082,usa-vs-bosnia-and-herzegovina,WC,2026,MD082,Round32,,,7/2(木)09:00,アメリカ,,ボスニア・ヘルツェゴビナ,,サンフランシスコベイエリアスタジアム,2,0,,,マリク・ティルマン,アメリカ,D1 | アメリカ vs B3/EFIJ | ボスニア・ヘルツェゴビナ,2026/7/2
WC-2026-MD083,spain-vs-austria,WC,2026,MD083,Round32,,,7/3(金)04:00,スペイン,,オーストリア,,ロサンゼルススタジアム,3,0,,,ラミン・ヤマル ,スペイン,H1 | スペイン vs J2 | オーストリア,2026/7/3
WC-2026-MD084,portugal-vs-croatia,WC,2026,MD084,Round32,,,7/3(金)08:00,ポルトガル,,クロアチア,,トロントスタジアム,2,1,,,クリスティアーノ・ロナウド,ポルトガル,K2 | ポルトガル vs L2 | クロアチア,2026/7/3
WC-2026-MD085,switzerland-vs-algeria,WC,2026,MD085,Round32,,,7/3(金)12:00,スイス,switzerland,アルジェリア,,BCプレイスバンクーバー,2,0,,,ブレール・エンボロ,スイス,B1 | スイス vs EFGI/J3 | アルジェリア,2026/7/3
WC-2026-MD086,australia-vs-egypt,WC,2026,MD086,Round32,,,7/4(土)03:00,オーストラリア,,エジプト,,ダラススタジアム,1,1,2,4,モハメド・サラー,エジプト,D2 | オーストラリア vs G2 | エジプト,2026/7/4
WC-2026-MD087,argentina-vs-cape-verde,WC,2026,MD087,Round32,,,7/4(土)07:00,アルゼンチン,,カーボベルデ,,マイアミスタジアム,3,2,,,リオネル・メッシ,アルゼンチン,J1 | アルゼンチン vs H2 | カーボベルデ,2026/7/4
WC-2026-MD088,colombia-vs-ghana,WC,2026,MD088,Round32,,,7/4(土)10:30,コロンビア,,ガーナ,,カンザスシティースタジアム,1,0,,,ルイス・ディアス,コロンビア,K1 | コロンビア vs DEIJ/L3 | ガーナ,2026/7/4
WC-2026-MD089,canada-vs-morocco,WC,2026,MD089,Round16,,,7/5(日)02:00,カナダ,,モロッコ,,ヒューストンスタジアム,0,3,,,アゼディン・ウナヒ,モロッコ,,2026/7/5
WC-2026-MD090,paraguay-vs-france,WC,2026,MD090,Round16,,,7/5(日)06:00,パラグアイ,,フランス,,フィラデルフィアスタジアム,0,1,,,オーランド・ギル,パラグアイ,,2026/7/5
WC-2026-MD091,brazil-vs-norway,WC,2026,MD091,Round16,,,7/6(月)05:00,ブラジル,,ノルウェー,,ニューヨーク/ニュージャージースタジアム,1,2,,,エルリング・ブラウト・ホランド,ノルウェー,,2026/7/6
WC-2026-MD092,mexico-vs-england,WC,2026,MD092,Round16,,,7/6(月)09:00,メキシコ,,イングランド,,エスタディオ・アステカ・メキシコシティー,2,3,,,ジュード・ベリンガム,イングランド,,2026/7/6
WC-2026-MD093,portugal-vs-spain,WC,2026,MD093,Round16,,,7/7(火)04:00,ポルトガル,,スペイン,,ダラススタジアム,0,1,,,ロドリ,スペイン,,2026/7/7
WC-2026-MD094,usa-vs-belgium,WC,2026,MD094,Round16,,,7/7(火)09:00,アメリカ,,ベルギー,,シアトルスタジアム,1,4,,,シャルル・デ・ケテラーレ,ベルギー,,2026/7/7
WC-2026-MD095,argentina-vs-egypt,WC,2026,MD095,Round16,,,7/8(水)01:00,アルゼンチン,,エジプト,,アトランタスタジアム,3,2,,,リオネル・メッシ,アルゼンチン,,2026/7/8
WC-2026-MD096,switzerland-vs-colombia,WC,2026,MD096,Round16,,,7/8(水)05:00,スイス,,コロンビア,,BCプレイスバンクーバー,0,0,4,3,グレゴール・コベル,スイス,,2026/7/8
WC-2026-MD097,,WC,2026,MD097,Quarter-Finals,,,7/10(金)05:00,フランス,,モロッコ,,ボストンスタジアム,,,,,,,,2026/2/11
WC-2026-MD098,,WC,2026,MD098,Quarter-Finals,,,7/11(土)04:00,スペイン,,ベルギー,,ロサンゼルススタジアム,,,,,,,,2026/2/11
WC-2026-MD099,,WC,2026,MD099,Quarter-Finals,,,7/12(日)06:00,ノルウェー,,イングランド,,マイアミスタジアム,,,,,,,,2026/2/11
